*Mercedes Championships,,,,,,
Jeff Kern,-,72,70,72,282,-
Dave Barr,-,72,MC,MC,144,-
Chris DiMarco,-,74,MC,MC,144,-
Lee Janzen,-,71,MC,MC,144,-
Franklin Langham,-,74,MC,MC,144,-
Larry Mize,-,69,MC,MC,144,-
Dan Pohl,-,71,MC,MC,144,-
Sonny Skinner,-,73,MC,MC,144,-
Hal Sutton,-,73,MC,MC,144,-
Vance Veazey,-,72,MC,MC,144,-
Ben Bates,-,72,MC,MC,145,-
Olin Browne,-,74,MC,MC,145,-
Tom Byrum,-,72,MC,MC,145,-
Jim Carter,-,74,MC,MC,145,-
Joe Daley,-,73,MC,MC,145,-
R.W. Eaks,-,74,MC,MC,145,-
Brad Fabel,-,74,MC,MC,145,-
Guy Hill,-,74,MC,MC,145,-
Neal Lancaster,-,73,MC,MC,145,-
Phil Mickelson,-,72,MC,MC,145,-
Christian Pena,-,73,MC,MC,145,-
Lee Porter,-,73,MC,MC,145,-
Ted Purdy,-,71,MC,MC,145,-
Brett Quigley,-,68,MC,MC,145,-
Clarence Rose,-,73,MC,MC,145,-
Jay Synkelma,-,71,MC,MC,145,-
Doug Barron,-,72,MC,MC,146,-
David Bartman,-,72,MC,MC,146,-
Phil Blackmar,-,70,MC,MC,146,-
Guy Boros,-,73,MC,MC,146,-
Bruce Fleisher,-,72,MC,MC,146,-
Bob Gilder,-,75,MC,MC,146,-
Blaine McCallister,-,75,MC,MC,146,-
Ed Fiori,-,72,MC,MC,147,-
Steve Jurgensen,-,74,MC,MC,147,-
Spike McRoy,-,73,MC,MC,147,-
Joe Ozaki,-,76,MC,MC,147,-
Tateo (Jet) Ozaki,-,74,MC,MC,147,-
Don Pooley,-,74,MC,MC,147,-
Tom Purtzer,-,72,MC,MC,147,-
Paul Stankowski,-,72,MC,MC,147,-
Harrison Frazar,-,74,MC,MC,148,-
Scott Gump,-,76,MC,MC,148,-
Tom Kite,-,74,MC,MC,148,-
Jeff Maggert,-,76,MC,MC,148,-
Scott Watkins,-,75,MC,MC,148,-
Mark Wiebe,-,73,MC,MC,148,-
Brian Henninger,-,76,MC,MC,149,-
Pete Jordan,-,75,MC,MC,149,-
John Riegger,-,72,MC,MC,149,-
Mike Springer,-,74,MC,MC,149,-
Lennie Clements,-,73,MC,MC,150,-
Steve Flesch,-,74,MC,MC,150,-
Fred Funk,-,80,MC,MC,150,-
Bobby Wadkins,-,74,MC,MC,150,-
Mike Small,-,77,MC,MC,151,-
Chris Smith,-,75,MC,MC,151,-
Bob Romero,-,79,MC,MC,152,-
Jim Thorpe,-,76,MC,MC,152,-
Chip Beck,-,75,MC,MC,153,-
Gabriel Hjertstedt,-,79,MC,MC,153,-
Willie Kane,-,78,MC,MC,154,-
Kevin Wentworth,-,77,MC,MC,154,-
Mark Carnevale,-,80,MC,MC,155,-
Brandel Chamblee,-,WD,WD,WD,76,-
Brian Kamm,-,DQ,DQ,DQ,72,-
